"","chr","pos","Bw3","Bw4","Bw5","Bw6","Afw","Afp","Mw","Liver","Kidney","Spleen"
"D1Mit68","1",4.123,0.944851756746232,2.12805732971279,2.72412965717928,2.7407576986094,0.877083438944254,0.390807904490373,1.60795487096087,3.13575172066837,2.6507588019542,1.72339376775298
"c1.loc2","1",6.123,0.972029577757553,2.31471879733093,2.87469536073849,2.83752993572335,0.9234799939276,0.420482438304333,1.82527018005348,3.12610380863740,2.80180830278799,2.00725844753137
"c1.loc4","1",8.123,0.991733206970366,2.47711746624449,2.99440284384229,2.90521577964415,0.965898078863432,0.44982748318111,2.03194786299818,3.08063834608129,2.90803034869353,2.28227144189711
"c1.loc6","1",10.123,1.00263025349594,2.60625871178237,3.07747442860369,2.93918400613936,1.00251915408538,0.477831724607427,2.21139429784296,3.00208160814284,2.97027710210524,2.52261064098684
"c1.loc8","1",12.123,1.00426650775518,2.69889773401061,3.12253228279351,2.93697815397013,1.03175962878416,0.503420276684096,2.35509721022737,2.89947778545240,2.99404037973517,2.70838240500578
"c1.loc10","1",14.123,0.997086473706332,2.75591508464996,3.13100450471472,2.89786895104871,1.05242375163135,0.525517609961668,2.46277764553605,2.78605939645441,2.98687349078720,2.82941299014925
"c1.loc12","1",16.123,0.982264687556835,2.78030256116401,3.10556396480573,2.82219659784693,1.06380435331803,0.543124536824678,2.54021237079763,2.67232810364614,2.95550760814811,2.88504485786066
"c1.loc14","1",18.123,0.961426304456893,2.77576403083361,3.04941651833479,2.71085400449996,1.06574600007247,0.555441033191187,2.5957522123301,2.56001421440223,2.90324464364501,2.88202315529068
"c1.loc16","1",20.123,0.936354595280989,2.74615293313789,2.96650098501456,2.56581923904633,1.05867656815275,0.562032598084187,2.63644425711078,2.44453054960709,2.83045595040834,2.83157205331813
"c1.loc18","1",22.123,0.90876202484381,2.69546966018055,2.86189905294586,2.39229708941966,1.04358786757444,0.562975632129081,2.66603649568867,2.32193603160960,2.73761599445025,2.74655432824071
"D1Mit236","1",23.6912,0.886347471540006,2.64373688256231,2.76867913631614,2.24316468204242,1.02708250879499,0.560151329559687,2.68224843136238,2.22098658025783,2.65260302470710,2.66389516870979
"c1.loc20","1",24.123,0.896233652246565,2.66729989617630,2.80004207147701,2.25870980009933,1.02310447353071,0.555739010186358,2.66754812706145,2.24247995559526,2.70703550506566,2.68581198560273
"c1.loc22","1",26.123,0.936473311510525,2.76492746826551,2.93293144696318,2.32129872468209,0.996882337033725,0.530782447545135,2.5823819690701,2.33239421223472,2.95237868047897,2.76845150780454
"c1.loc24","1",28.123,0.967397358059515,2.84475854317057,3.04530416287298,2.36812533731182,0.959454283979994,0.499680223365203,2.47784564369130,2.40684240115897,3.17831130171359,2.82037173861002
"c1.loc26","1",30.123,0.989107681800363,2.908176349955,3.13824669591304,2.39938960122441,0.914428227547575,0.465094484764819,2.36620807122006,2.46510774172671,3.37611774547385,2.84092965255073
"c1.loc28","1",32.123,1.00118043899693,2.95312097942622,3.21097129493648,2.41462338237633,0.86646630629184,0.43037647573982,2.25668542100971,2.50405537132919,3.53889422719783,2.82717840687297
"c1.loc30","1",34.123,1.00217256958581,2.97425874468982,3.259783316545,2.41205239072715,0.82024814056848,0.398814387150793,2.15304550175600,2.51917155786269,3.66049114659361,2.77524112435540
"c1.loc32","1",36.123,0.991087485077713,2.96637322444201,3.2802132086191,2.38947130123594,0.779523878718834,0.372909548643946,2.05530274455057,2.50673874146506,3.73617023526681,2.68268227334633
"c1.loc34","1",38.123,0.970823402612638,2.92724182828584,3.26954335465868,2.34574835733156,0.746517457649702,0.353961327905608,1.96332277374574,2.46568892174429,3.76408409964647,2.55093692681615
"D1Mit46","1",39.162,0.959637474593876,2.89499156670979,3.25168070793131,2.31491669385693,0.73266520940453,0.346934955862025,1.91820413196240,2.43366583120370,3.76023258676298,2.46928407888024
"c1.loc36","1",40.123,1.07436531493647,3.09056259726191,3.40488602692162,2.43087390821182,0.833713519245663,0.423593889955754,2.08531423481091,2.50319569417383,3.93452113532319,2.53534472170145
"c1.loc38","1",42.123,1.23624578666903,3.31670488183855,3.45583365279583,2.46596654425855,1.03825057439107,0.622944309978294,2.29641361671722,2.35667818662367,3.85307240935893,2.42859858353421
"D1Mit49","1",44.067,1.26408490884342,3.21856487734883,3.09961269799692,2.18059350836035,1.18701981571826,0.841173821025507,2.26926533387274,1.78688579487806,3.23531475534699,2.17257434613359
"c1.loc40","1",44.123,1.26463613994727,3.22702333635294,3.10887104974114,2.18963085135238,1.1893898858022,0.842122357300724,2.27715962214745,1.79114353708732,3.25259686892564,2.17317797091027
"c1.loc42","1",46.123,1.26538486244803,3.48670975018362,3.41230570551284,2.48291761031419,1.23804462219684,0.850911816962906,2.54344339385136,1.90779300390039,3.83646624189296,2.12387308919969
"c1.loc44","1",48.123,1.22542458454211,3.64337434444934,3.62867622804467,2.69374279637864,1.2004663231873,0.79285240576823,2.76302962427116,1.92893917252601,4.32259787935797,1.94070036159007
"c1.loc46","1",50.123,1.14521459263011,3.67973906373527,3.72567168425331,2.80291594836979,1.07427921042338,0.660473654128339,2.91752044469578,1.83422705156832,4.67810319824925,1.65920237149686
"c1.loc48","1",52.123,1.03356610710870,3.58906965992668,3.6959603880176,2.81307595305458,0.882660084912516,0.476036643136979,2.99950713212439,1.62886170823052,4.88742618388902,1.34242790640351
"D1Mit217","1",52.7377,0.99509766778678,3.53583993904201,3.66304933587716,2.79907539769397,0.817731640287718,0.416097582919093,3.01038453888219,1.54892591117101,4.92193379522756,1.24833521371994
"c1.loc50","1",54.123,0.988154058549412,3.59098226862341,3.68414441585224,2.82921036269303,0.727003360378632,0.347512094638773,3.02944327807731,1.52692407001413,5.03597660612971,1.3466729056818
"c1.loc52","1",56.123,0.95813006181126,3.5776456297873,3.61415181955695,2.83868802984347,0.588020235584366,0.250553653562804,2.98839376171239,1.44661080535354,5.13401760054549,1.50264717870368
"c1.loc54","1",58.123,0.904720545357208,3.4436444255993,3.43198328682342,2.80832510311902,0.448753437263491,0.162739671895281,2.86458764403599,1.31985921884618,5.14911345617614,1.67522441117072
"c1.loc56","1",60.123,0.83457984417393,3.19977809482785,3.16307310406134,2.74432517017109,0.320104221170880,0.0911852517683087,2.67204162771247,1.16356422468891,5.08868476681214,1.85895323210849
"c1.loc58","1",62.123,0.759337117946103,2.87348432425856,2.84471517200447,2.65388993585992,0.211573339680086,0.0411906988957753,2.43661112047803,0.996460487762732,4.96818715436066,2.04300979218976
"c1.loc60","1",64.123,0.689865610145404,2.50323511256903,2.51792756142004,2.53926649200491,0.129192535041000,0.0151314475898516,2.18787099849811,0.835734515262857,4.80393037435034,2.21495935361611
"c1.loc62","1",66.123,0.631443326597633,2.13024373841887,2.21450084823110,2.39593540388174,0.0747460544120884,0.012265884775843,1.94947605976279,0.693576514071907,4.60490962725005,2.36406688415212
"c1.loc64","1",68.123,0.584222068208106,1.78624449932673,1.94802027662544,2.21924458724627,0.0465358393435906,0.0294456682066482,1.7335822956191,0.575679267325285,4.36991134850085,2.48252371415464
"D1Mit33","1",68.3839,0.57880434885621,1.74449573454936,1.91604825448505,2.19390197858147,0.0446069848730133,0.032939198496905,1.70729416540070,0.562156503400274,4.33632894297315,2.49544160161977
"c1.loc66","1",70.123,0.560436399992255,1.79883902281796,1.86972638248122,2.07366092232215,0.0213068353059782,0.0540845721583025,1.75612803370592,0.569053589320106,4.16162273865808,2.49218714121068
"c1.loc68","1",72.123,0.539643593071872,1.85710007443248,1.82098537743511,1.93950577659226,0.005056276974301,0.0859760314737059,1.80538452744238,0.607219860743186,3.93405331591030,2.44824716210965
"c1.loc70","1",74.123,0.518940056169868,1.90574740396178,1.77316288044145,1.80981693571084,0.00127631813575135,0.124677268338758,1.83778030449503,0.669994283045412,3.6600235389804,2.35922658655520
"D1Mit16","1",75.104,0.508578693652936,1.92527565065873,1.74930974034885,1.74774563136791,0.00392520844130217,0.145566210489278,1.84514271220220,0.706732946604404,3.5041482587601,2.29937886208208
"c1.loc72","1",76.123,0.424254450230706,1.55997394764819,1.61730213078445,1.52162922638118,0.0204641764888152,0.221123590165320,1.67099168039186,0.466213513744691,3.17152212931556,1.84453106828275
"D1Mit36","1",76.728,0.377097398708912,1.30464881435793,1.50180175916481,1.38361524457648,0.0598410973841226,0.292731124251901,1.53022446682849,0.393809664536576,2.91376754567561,1.45641769863099
"c1.loc74","1",78.123,0.358216207911539,1.32154580435784,1.46518111149430,1.33221199770108,0.0550057792399059,0.288741126291796,1.53700498623019,0.393481987153393,2.76378819198837,1.42037146103033
"c1.loc76","1",80.123,0.324506735082451,1.34371907782628,1.39381178784524,1.23398397779064,0.0488892607496894,0.280767533122315,1.53114675607677,0.389386373144674,2.52136893612959,1.35928364959713
"c1.loc78","1",82.123,0.284987966043133,1.36206902796863,1.30102472348688,1.11019256527371,0.0448942784738335,0.270005624566352,1.50692604938328,0.379541676260999,2.25008122652613,1.28911549990102
"c1.loc80","1",84.123,0.243587642974745,1.37389022557113,1.18977839766839,0.96886865227404,0.0444440728039694,0.256597544790253,1.46507673435704,0.36228724728457,1.95617695823154,1.21397508404507
"c1.loc82","1",86.123,0.205535773114519,1.37545213196384,1.06512948900297,0.822047507272401,0.0487764000375535,0.241011880256622,1.40685616900575,0.336361286629653,1.64926320093636,1.13948690043804
"c1.loc84","1",88.123,0.175996563167047,1.3626138985029,0.933696929319325,0.683630696430384,0.0584743926821432,0.223889582759455,1.33418406388773,0.301560461367643,1.34247069783569,1.07150746841862
"c1.loc86","1",90.123,0.158408277673061,1.33177836400222,0.802740553015923,0.566214257295712,0.0730880328174237,0.205799601269575,1.24986047676981,0.259323202301459,1.05168241021480,1.01455785416664
"c1.loc88","1",92.123,0.153571277478790,1.28111994029163,0.679041634490062,0.478130510043997,0.0911460722913375,0.187117859618581,1.15749874521271,0.212811508159177,0.79362428703324,0.970770243750309
"c1.loc90","1",94.123,0.1599896152849,1.21169746344188,0.567909547994162,0.422034546205992,0.110624150746958,0.168124485180215,1.06117372187933,0.166292035940643,0.582452685849802,0.9398833595356
"c1.loc92","1",96.123,0.174962976562796,1.12774309820151,0.472625160918852,0.395549358249127,0.129574988460575,0.149164661520814,0.964941822610683,0.124020527091915,0.42518829899916,0.92017066365213
"D1Mit293","1",97.551,0.189289044104271,1.06242486071241,0.415046896301362,0.391828616935811,0.141964591770943,0.135894776071211,0.898291831212362,0.0982416611592782,0.344845239431663,0.911781214826988
"D2Mit6","2",14.6271,0.643234559818012,0.611119359868098,1.16583605663246,1.01086626317093,1.08430832128039,0.719026081496793,1.37213981168051,1.15208252327983,1.0715138054684,0.139910550060563
"c2.loc2","2",16.6271,0.424319194462043,0.61439045022604,1.29421771971840,1.30158541548806,1.12280409719173,0.656988720462692,1.27015339806400,1.68115543327869,1.62459723956647,0.0854097668817246
