"","chr","pos","rz.F.tot.dens","rz.V.tot.dens","rz.TRAB.GEO.TG.BV.TV","rz.Avg.cort.th","rz.F.Ult.Load","rz.F.Energy.to.failure","rz.F.Stiffness","rz.F.CSMI","rz.F.Ult.Stress","rz.F.toughness"
"D1Mit231","1",6.497,3.65329461525090,1.69080196826418,0.359069752096216,2.62620467172407,2.56285491629153,1.39323338081920,2.29354446954045,1.06244999948272,0.0876252583084815,0.791625313815117
"c1.loc2","1",8.497,4.30433970625591,1.69415101878469,0.323331663319802,2.63166252843915,2.72272113652224,1.51148362301857,2.30488721861154,1.12177013687695,0.139426515515334,0.891692632547655
"c1.loc4","1",10.497,4.93553520527846,1.67037271935426,0.31014959877105,2.67042346611599,2.95526041682492,1.65083260056822,2.30970522686910,1.15593813929094,0.199207401480767,1.00449398385157
"c1.loc6","1",12.497,5.53853926780126,1.59573648650512,0.26219255012471,2.82077286616257,3.14350631545747,1.77698501119026,2.25790391898411,1.16402646510293,0.259384844185023,1.08906508257464
"c1.loc8","1",14.497,6.15336655525355,1.44596456046472,0.251352894374797,2.67558006980898,3.17575020742970,1.77958491896536,2.09384340887879,1.12565113328597,0.329137344154316,1.18461228343729
"c1.loc10","1",16.497,6.53562040946315,1.28988699763586,0.292832639937194,2.45100038027174,3.05581305821677,1.68804493918671,1.92166417269052,1.05776490362899,0.422290271625379,1.16251447119322
"c1.loc12","1",18.497,6.88666763020489,1.10672636777319,0.340055546691215,2.40057193707811,2.85074820184621,1.53156094354364,1.74889418834341,1.06084923762760,0.523632934749575,1.10283414616475
"c1.loc14","1",20.497,7.21831072156161,0.95412526446441,0.417759199891607,2.24989415227666,2.83115687558921,1.50887741784684,1.5982461090167,1.03012652628053,0.565303128627667,1.12732521956580
"c1.loc16","1",22.497,7.33049221554011,0.81542925914625,0.445626296370384,2.19106382600673,2.67591595940758,1.40867576448909,1.38255280774100,1.03726239433254,0.611145089782786,1.08656231600727
"D1Mit213","1",22.88260417,7.35993897750507,0.788438680237786,0.454304077857681,2.16751724470635,2.62839102467178,1.39222803425346,1.34126484471326,1.01808890483233,0.60185873820476,1.07169930565724
"c1.loc18","1",24.497,8.11740639740569,0.865189875483196,0.542720278661347,2.39042899700932,2.89982990641273,1.49740422766885,1.5510258562954,1.06426243793004,0.674866885782106,1.13850296387019
"c1.loc20","1",26.497,9.2687120301423,0.989596141688902,0.572345574781135,2.69558526502759,3.30824112267391,1.69018365623791,1.92362643270726,1.11310047107400,0.68418180691948,1.25612117789697
"c1.loc22","1",28.497,10.0053003540006,1.01441366367857,0.639629215530009,2.84896851327398,3.53325372048699,1.79828164010653,2.15958924024384,1.1780084089333,0.702869537509608,1.34596279510789
"c1.loc24","1",30.497,10.9536918247221,1.09817261212493,0.694890737182161,2.99610878734331,3.83161617292466,1.92312118128228,2.42286740632385,1.23729113007211,0.704358111867818,1.40658153642829
"c1.loc26","1",32.497,11.672185706161,1.17860507031732,0.789547252341609,3.06548039083640,4.01818024657415,1.98878609146875,2.62750873588225,1.31140227341248,0.728635122605484,1.48431378061582
"c1.loc28","1",34.497,12.2856885932028,1.22564172158692,0.80238138831412,3.06484108513004,4.05135082787667,2.03179691247934,2.75455132710934,1.32542710215694,0.734431014575546,1.52892590488273
"c1.loc30","1",36.497,12.9065007566180,1.21198605996624,0.854637329426296,3.13887881376298,4.17353960909962,2.13938629915662,2.92979776883909,1.32694578578630,0.722125199269743,1.58981063891878
"D1Mit282","1",37.02453275,13.1364753615520,1.22017528284003,0.874712567752998,3.0981687379199,4.14605851536273,2.11864960692376,2.95995675219146,1.33534621876697,0.716388617176112,1.58484536430602
"c1.loc32","1",38.497,14.4479284571273,1.27367187029861,0.63948810371819,3.32608101076782,4.2311165127847,2.13248012471977,2.6799337823264,1.38307066771113,0.720861747382233,1.52771738078632
"c1.loc34","1",40.497,15.6726994197553,1.62105837841267,0.356836839682677,3.49727125884581,4.49626791121289,2.29456791531569,2.34157104855665,1.39423292202446,0.703865748630976,1.57325569535104
"c1.loc36","1",42.497,16.4494572587129,2.12075918969527,0.131186673156921,3.45854008785613,4.37147177066776,2.18942170838365,1.83620470453522,1.33014583719641,0.608961042464711,1.42421871954498
"D1Mit415","1",43.943,16.6636762620939,2.47764055665771,0.0344829895082929,3.35380745417929,4.19128875402934,2.09073984671841,1.54233601902297,1.20018663066918,0.528060929034519,1.32324982900515
"c1.loc38","1",44.497,17.3526965028003,2.79989062163199,0.0434466727735258,3.30425123949897,4.17708786823952,2.07409280513138,1.59458789597616,1.11489071089093,0.62473950274215,1.37433788167913
"c1.loc40","1",46.497,18.8387226883847,3.91204952208563,0.101817474264975,3.15051899457351,4.15203958316018,2.16713945669500,1.72963539220033,0.839378660441423,1.06993553639451,1.72275612026393
"c1.loc42","1",48.497,19.4748998993502,4.9497278709706,0.173799968088593,2.83869438453338,3.83110793324294,2.19269026832028,1.62488620740848,0.560198601447069,1.38022508444660,2.03130438879693
"c1.loc44","1",50.497,19.2845186982593,5.56150142744885,0.250289324937250,2.3079468080047,3.2809819394583,2.06722984231119,1.47743847737605,0.384726130714694,1.65851559035125,2.24209717003927
"D1Mit416","1",50.53889081,19.2651597072759,5.55385167152123,0.252575963205844,2.29708454832589,3.2762155370801,2.0600745939114,1.48294657298156,0.383686015772696,1.66588751045042,2.24223268675202
"c1.loc46","1",52.497,20.9999534997562,6.71083732658365,0.603639481606096,2.59373437313173,3.81546700496263,2.27537064788881,1.59625311290293,0.426797402898379,2.05096850223599,2.48964829498895
"c1.loc48","1",54.497,22.6267679055765,7.90420431301639,0.996844618467656,2.86640334079654,4.22623688410933,2.54539550089367,1.60769891295444,0.423744471288139,2.43851819883911,2.86335554795011
"c1.loc50","1",56.497,24.0308606316692,8.98323639233439,1.55183224541913,3.12414644086706,4.72839084243044,2.79271125407788,1.66294434729778,0.417692760225841,2.69011231022842,3.16390381180297
"c1.loc52","1",58.497,24.4245045488778,9.981871790222,2.11554006798630,3.3426680809186,5.22574861624512,3.00404662337703,1.67620396093758,0.368660566016165,3.06288105915312,3.40983311169532
"c1.loc54","1",60.497,25.3992597412108,11.018262696018,2.91085133610037,3.49054384770847,5.70448586141059,3.26141234690505,1.69009747815493,0.296981402636545,3.31390599058316,3.68905188371845
"c1.loc56","1",62.497,25.6352396652054,12.1233574128241,3.71208307733270,3.51793975772969,6.00103947610186,3.39967181437868,1.63726740081917,0.275034261987047,3.68578784328154,3.87942049592768
"c1.loc58","1",64.497,24.9603348596166,12.7663004355901,4.55956711980267,3.57375488096099,6.22155724464604,3.42313914911498,1.59200265742058,0.222040295099516,4.1222431808918,4.09332915166708
"c1.loc60","1",66.497,24.8086014973156,13.4111927723505,5.26825578326446,3.60678292764609,6.72476095433079,3.55260982468584,1.56667963080777,0.196928287317571,4.54265487675785,4.27541648740823
"D1Mit14","1",67.708,24.5486731770802,13.6926879849105,5.7128568705291,3.53932917387874,6.95374047905722,3.64117950537289,1.51651917778166,0.162602889275016,4.75454219288352,4.4331055276167
"c1.loc62","1",68.497,24.3665525525659,13.6717130401811,5.73184447207262,3.59500145371104,7.12288252231841,3.77191823895696,1.52879515674140,0.160714386768353,4.88061536762848,4.57916786218403
"c1.loc64","1",70.497,23.7710884342667,14.0095339551143,5.91877430303194,3.63406745807258,7.45754217887834,4.00397920447395,1.55369233132210,0.149674589505025,5.20765824244811,4.96294968787834
"c1.loc66","1",72.497,23.2456089017685,14.0416246477878,5.89514284917145,3.64534250448167,7.37150330586505,4.01684631943623,1.56827773119704,0.133504872951468,5.38903844012978,5.01900259571438
"c1.loc68","1",74.497,22.2687562343884,13.6401900610850,5.92382214672867,3.51487379713743,7.10630142162893,4.01625759223646,1.43374895204841,0.145814601000028,5.70058507298594,5.18356680388977
"c1.loc70","1",76.497,22.0397340171223,13.0268308425793,5.82948612336343,3.42331861757277,7.29983463079544,4.24956706014078,1.40985513440544,0.164520393754369,5.94514336671881,5.53666948355422
"c1.loc72","1",78.497,20.7044935833841,12.5966536198877,5.53022055638126,3.31695939793447,7.29237955458451,4.14992893271482,1.31032351009528,0.212329885886438,5.85239450264103,5.41116182926815
"c1.loc74","1",80.497,19.6715915055098,12.2450777162475,5.37107584435236,3.23854527778026,7.10626682758602,4.11149138463390,1.15211393728737,0.241415826417243,6.08057860374725,5.56597636665728
"c1.loc76","1",82.497,18.3800380823847,11.7399244417794,5.20961675550851,3.20469478792497,7.06856745452112,4.16257607046212,1.15660057350628,0.336407238528382,6.23942287607782,5.62590696698096
"c1.loc78","1",84.497,16.8095173733986,11.3934671448840,5.05357833144325,3.02168689978965,6.88019511297968,4.0936815678529,1.05765643399632,0.416824631477745,6.17856674392,5.58780568682988
"c1.loc80","1",86.497,15.5478888084939,11.4677586036541,5.07743722897287,2.86949829586578,7.18547265427792,4.10854842044774,1.01296982947317,0.505579662897108,6.15662591187006,5.44764873682227
"c1.loc82","1",88.497,14.4141940526318,10.796279866824,4.98367466241639,2.71545389525336,7.02931259282969,4.0632189107556,0.900799543408964,0.575232858219174,6.45974233186918,5.50931413876603
"c1.loc84","1",90.497,13.4371660594374,10.3880243942525,4.8309367734746,2.59292608778094,6.61084353248424,3.88471799150532,0.785026391557807,0.625139083287995,6.52340182529808,5.38125309892305
"c1.loc86","1",92.497,12.0709001891800,9.81801438176223,4.79553512323112,2.42078446208020,6.46393064291252,3.86433094211494,0.68686136774541,0.724954279313366,6.36189277754815,5.38879066928978
"c1.loc88","1",94.497,10.7253900224486,9.07910329155601,4.59688314408497,2.22360211337417,6.28107074159295,3.85541596938894,0.616462573227975,0.817713275553562,6.1988885315248,5.29076569067988
"D1Mit17","1",95.029,10.3463394024154,8.86295982501704,4.57246463416386,2.15311907535969,6.12085609864151,3.74033758752148,0.581002922791234,0.78797538065902,6.14415575376177,5.14271626282031
"D2Mit323","2",31.42236531,0.777291571549673,0.226784048034655,1.55818780180299,0.312643157637443,0.379572237181693,0.329305841219214,0.295231830684481,0.219699411802468,0.67550421015024,0.507951864954217
"c2.loc2","2",33.42236531,0.834381935158022,0.217069644720740,1.55143575239417,0.380191118651586,0.423859859690608,0.381028653507203,0.411970704888588,0.379802033345654,0.799521652622834,0.578889078019171
